;;;  CUSTO SEM CORRETAGEM ;; CUSTO COM CORRETAGEM ;;;1,000407846;
Data;Cia.;C/V; Quantidade ; Unit‡rio ; Total ; Unit‡rio ; Total ; Total Despesas ;
;;;;;;;;;
12/02/2020;BRFS3;C; 650.000 ; 16,57 ; (10.770.500,00); 16,59 ; (10.774.892,71); (4.392,71);
13/02/2020;PETR4;C; 70.000 ; 15,88 ; (1.111.600,00); 15,90 ; (1.112.053,36); (453,36);
05/03/2020;BRFS3;C; 55.000 ; 19,40 ; (1.067.000,00); 19,43 ; (1.067.435,17); (435,17);
18/03/2020;PETR4;C; 80.000 ; 16,61 ; (1.328.800,00); 16,63 ; (1.329.341,95); (541,95);
08/04/2020;PETR4;C; 110.000 ; 16,93 ; (1.862.300,00); 16,95 ; (1.863.059,53); (759,53);
11/05/2020;PETR4;C; 250.000 ; 17,50 ; (4.375.000,00); 17,52 ; (4.376.784,33); (1.784,33);
11/05/2020;PETR4;V; 310.000 ; 18,55 ; 5.750.500,00 ; 18,58 ; 5.752.845,32 ; 2.345,32 ;
12/05/2020;PETR4;C; 300.000 ; 18,44 ; (5.532.000,00); 18,47 ; (5.534.256,21); (2.256,21);
13/05/2020;PETR4;C; 710.000 ; 18,32 ; (13.007.200,00); 18,35 ; (13.012.504,94); (5.304,94);
04/06/2020;PETR4;C; 150.000 ; 21,27 ; (3.190.500,00); 21,30 ; (3.191.801,23); (1.301,23);
05/06/2020;PETR4;C; 700.000 ; 22,29 ; (15.603.000,00); 22,32 ; (15.609.363,63); (6.363,63);
12/06/2020;PETR4;C; 100.000 ; 20,25 ; (2.025.000,00); 20,28 ; (2.025.825,89); (825,89);
15/06/2020;PETR4;C; 50.000 ; 19,80 ; (990.000,00); 19,82 ; (990.403,77); (403,77);
24/07/2020;PETR4;C; 200.000 ; 22,78 ; (4.556.000,00); 22,81 ; (4.557.858,15); (1.858,15);
20/08/2020;BRFS3;C; 10.000 ; 20,65 ; (206.500,00); 20,68 ; (206.584,22); (84,22);
24/08/2020;BRFS3;C; 60.500 ; 20,45 ; (1.237.225,00); 20,48 ; (1.237.729,60); (504,60);
25/08/2020;BRFS3;C; 5.000 ; 20,00 ; (100.000,00); 20,03 ; (100.040,78); (40,78);
26/08/2020;ITUB4;C; 500.000 ; 23,79 ; (11.895.000,00); 23,82 ; (11.899.851,33); (4.851,33);
26/08/2020;PETR4;V; 563.600 ; 22,18 ; 12.500.648,00 ; 22,15 ; 12.505.746,34 ; 5.098,34 ;
27/08/2020;BRFS3;C; 200.000 ; 19,93 ; (3.986.000,00); 19,96 ; (3.987.625,68); (1.625,68);
27/08/2020;PETR4;V; 100.000 ; 22,14 ; 2.214.000,00 ; 22,11 ; 2.214.902,97 ; 902,97 ;
28/08/2020;BRFS3;C; 250.000 ; 19,78 ; (4.945.000,00); 19,83 ; (4.947.016,80); (2.016,80);
28/08/2020;PETR4;V; 230.000 ; 22,25 ; 5.117.500,00 ; 22,20 ; 5.119.587,15 ; 2.087,15 ;
01/09/2020;BRFS3;C; 100.000 ; 19,80 ; (1.980.000,00); 19,84 ; (1.980.807,54); (807,54);
01/09/2020;PETR4;V; 82.000 ; 22,53 ; 1.847.460,00 ; 22,48 ; 1.848.213,48 ; 753,48 ;
14/09/2020;BRFS3;V; 105.000 ; 20,61 ; 2.164.050,00 ; 20,58 ; 2.164.932,60 ; 882,60 ;
14/09/2020;PETR4;C; 102.000 ; 21,57 ; (2.200.140,00); 21,60 ; (2.201.037,32); (897,32);
30/09/2020;BBDC4;C; 300.000 ; 19,43 ; (5.829.000,00); 19,46 ; (5.831.377,34); (2.377,34);
30/09/2020;PETR4;V; 300.000 ; 19,75 ; 5.925.000,00 ; 19,73 ; 5.927.416,49 ; 2.416,49 ;
22/10/2020;BRFS3;C; 85.000 ; 18,85 ; (1.602.250,00); 18,88 ; (1.602.903,47); (653,47);
16/11/2020;BBDC4;V; 300.000 ; 22,61 ; 6.783.000,00 ; 22,58 ; 6.785.766,42 ; 2.766,42 ;
